,,,,,,,,,,score
claude-3-5-sonnet-20240620,claude-3-opus-20240229,gemini-1_5-pro,gpt-4o,open-mixtral-8x22b,,,,,,0.49
claude-3-5-sonnet-20240620,gemini-1_5-pro,gpt-4o,,,,,,,,0.4866666666666667
claude-3-5-sonnet-20240620,claude-3-opus-20240229,gemini-1_5-pro,,,,,,,,0.4766666666666667
claude-3-5-sonnet-20240620,gpt-4o,,,,,,,,,0.47
claude-3-5-sonnet-20240620,claude-3-opus-20240229,gemini-1_5-pro,gpt-4o,,,,,,,0.4666666666666667
claude-3-5-sonnet-20240620,claude-3-opus-20240229,gemini-1_5-pro,gpt-4o,mistral-large-latest,,,,,,0.4666666666666667
claude-3-5-sonnet-20240620,claude-3-opus-20240229,,,,,,,,,0.4666666666666667
claude-3-5-sonnet-20240620,claude-3-opus-20240229,gpt-4o,mistral-large-latest,,,,,,,0.4666666666666667
claude-3-5-sonnet-20240620,claude-3-opus-20240229,gemini-1_0-pro,gemini-1_5-pro,gpt-4o,,,,,,0.4633333333333333
claude-3-5-sonnet-20240620,gemini-1_5-pro,gpt-4o,open-mixtral-8x22b,,,,,,,0.4633333333333333
claude-3-5-sonnet-20240620,claude-3-opus-20240229,gemini-1_0-pro,gemini-1_5-pro,gpt-4o,mistral-large-latest,open-mixtral-8x22b,,,,0.4633333333333333
claude-3-5-sonnet-20240620,claude-3-opus-20240229,gemini-1_5-pro,mistral-large-latest,,,,,,,0.46
claude-3-5-sonnet-20240620,gpt-4o,open-mixtral-8x22b,,,,,,,,0.46
claude-3-5-sonnet-20240620,claude-3-opus-20240229,gemini-1_5-pro,gpt-4o,mistral-large-latest,open-mixtral-8x22b,,,,,0.46
claude-3-opus-20240229,gemini-1_5-pro,gpt-4o,,,,,,,,0.46
claude-3-5-sonnet-20240620,claude-3-opus-20240229,gemini-1_0-pro,gemini-1_5-pro,gpt-4o,open-mixtral-8x22b,,,,,0.45666666666666667
